variant;canonical;gender
jozo;Jozef;M
jozko;Jozef;M
jozino;Jozef;M
jozefko;Jozef;M
fero;František;M
ferko;František;M
ferino;František;M
ferdo;František;M
miso;Michal;M
misko;Michal;M
miki;Michal;M
mito;Michal;M
palo;Pavol;M
palino;Pavol;M
palko;Pavol;M
pali;Pavol;M
peto;Peter;M
petko;Peter;M
petulo;Peter;M
petoško;Peter;M
mato;Martin;M
matko;Martin;M
matulo;Martin;M
martinko;Martin;M
tomasko;Tomáš;
tomo;Tomáš;M
tomko;Tomáš;M
tomi;Tomáš;M
tomino;Tomáš;M
juro;Juraj;M
jurko;Juraj;M
jurino;Juraj;M
jurajko;Juraj;M
andy;Andrej;M
andro;Andrej;M
andrejko;Andrej;M
androš;Andrej;M
dano;Daniel;M
danko;Daniel;M
danielko;Daniel;M
dani;Daniel;M
samo;Samuel;M
samko;Samuel;M
samuelko;Samuel;M
samino;Samuel;M
marecko;Marek;M
marekko;Marek;M
marec;Marek;M
rado;Radovan;M
radko;Radovan;M
radovanek;Radovan;M
radino;Radovan;M
robo;Róbert;M
robko;Róbert;M
robertko;Róbert;M
robino;Róbert;M
kajo;Karol;M
kajko;Karol;M
karolko;Karol;M
karo;Karol;M
laco;Ladislav;M
lacko;Ladislav;M
ladko;Ladislav;M
lado;Ladislav;M
stano;Stanislav;M
stanko;Stanislav;M
stanino;Stanislav;M
stani;Stanislav;M
igi;Igor;M
igorino;Igor;M
igorik;Igor;M
igorco;Igor;M
milo;Milan;M
milko;Milan;M
milanko;Milan;M
milino;Milan;M
lubo;Ľubomír;M
lubko;Ľubomír;M
lubino;Ľubomír;M
lubor;Ľubomír;M
rasto;Rastislav;M
rasko;Rastislav;M
rastko;Rastislav;M
rastino;Rastislav;M
tibo;Tibor;M
tibko;Tibor;M
tiborino;Tibor;M
tibi;Tibor;M
duso;Dušan;M
dusko;Dušan;M
dusanek;Dušan;M
dusi;Dušan;M
stevo;Štefan;M
stevko;Štefan;M
